Buikwe 212,827	209,944	214,149	208,622	410,659	12,112	422,771
Bukomansimbi	75,629	75,784	138,588	12,825	150,417	996	151,413
Butambala	50,722	50,118	85,603	15,237	99,528	1,312	100,840
Buvuma	48,847	41,043	79,954	9,936	86,231	3,659	89,890
Gomba	82,652	77,270	147,483	12,439	158,665	1,257	159,922
Kalangala	31,047	23,246	49,313	4,980	50,178	4,115	54,293
Kalungu	92,735	90,497	151,095	32,137	177,936	5,296	183,232
Kampala	724,326	782,754	0	1,507,080	1,469,625	37,455	1,507,080
Kayunga	181,920	186,142	340,974	27,088	363,994	4,068	368,062
Kiboga	77,169	71,049	114,698	33,520	143,910	4,308	148,218
Kyankwanzi	112,037	102,656	190,200	24,493	212,681	2,012	214,693
Luwero	230,451	226,507	361,284	95,674	447,713	9,245	456,958
Lwengo	134,774	140,179	232,011	42,942	272,095	2,858	274,953
Lyantonde	46,866	46,887	79,930	13,823	92,770	983	93,753
Masaka	149,857	147,147	193,711	103,293	286,374	10,630	297,004
Mityana	168,509	160,455	221,328	107,636	322,982	5,982	328,964
Mpigi	128,203	122,345	207,242	43,306	243,767	6,781	250,548
Mubende	351,746	332,591	572,023	112,314	668,307	16,030	684,337
Mukono	297,154	299,650	434,062	162,742	580,016	16,788	596,804
Nakaseke	107,607	89,762	157,969	39,400	182,923	14,446	197,369
Nakasongola	94,526	87,273	157,059	24,740	176,951	4,848	181,799
Rakai	257,565	258,744	482,248	34,061	508,526	7,783	516,309
Ssembabule	127,033	125,564	235,568	17,029	250,523	2,074	252,597
Wakiso	962,121	1,035,297	814,517	1,182,901	1,959,725	37,693	1,997,418
Amuria	133,017	137,911	253,543	17,385	269,753	1,175	270,928
Budaka	101,076	106,521	183,720	23,877	206,662	935	207,597
Bududa	106,519	103,654	196,400	13,773	208,752	1,421	210,173
Bugiri	186,400	196,513	318,681	64,232	381,783	1,130	382,913
Bukedea	99,122	104,478	192,691	10,909	202,757	843	203,600
Bukwo	45,258	44,098	77,262	12,094	88,671	685	89,356
Bulambuli	86,505	88,003	157,643	16,865	173,560	948	174,508
Busia	157,415	166,247	268,844	54,818	320,516	3,146	323,662
Butaleja	119,721	124,432	210,952	33,201	243,441	712	244,153
Buyende	158,794	164,273	299,836	23,231	322,145	922	323,067
Iganga	242,543	261,654	411,460	92,737	500,524	3,673	504,197
Jinja	233,166	238,076	298,858	172,384	460,653	10,589	471,242
Kaberamaido	106,555	108,471	210,994	4,032	213,848	1,178	215,026
Kaliro	116,787	119,412	219,438	16,761	234,445	1,754	236,199
Kamuli	238,729	247,590	426,958	59,361	481,617	4,702	486,319
Kapchorwa	51,782	53,404	91,762	13,424	104,130	1,056	105,186
Katakwi	82,558	83,673	156,943	9,288	164,005	2,226	166,231
Kibuku	97,845	104,188	184,597	17,436	201,215	818	202,033
Kumi	117,007	122,261	202,774	36,494	237,788	1,480	239,268
Kween	47,594	46,073	87,210	6,457	92,869	798	93,667
Luuka	113,849	124,171	227,749	10,271	237,387	633	238,020
Manafwa	174,088	179,737	302,541	51,284	352,818	1,007	353,825
Mayuge	229,791	243,448	439,692	33,547	470,775	2,464	473,239
Mbale	235,624	253,336	365,869	123,091	481,562	7,398	488,960
Namayingo	106,608	108,834	199,717	15,725	213,253	2,189	215,442
Namutumba	124,304	128,258	233,943	18,619	251,833	729	252,562
Ngora	69,153	72,766	126,748	15,171	140,457	1,462	141,919
Pallisa	189,342	197,548	348,951	37,939	384,279	2,611	386,890
Serere	140,832	145,071	273,701	12,202	283,228	2,675	285,903
Sironko	121,119	121,303	208,173	34,249	241,473	949	242,422
Soroti	147,128	149,705	247,187	49,646	290,928	5,905	296,833
Tororo	251,892	265,190	444,937	72,145	512,474	4,608	517,082
Abim	52,769	55,197	90,790	17,176	106,996	970	107,966
Adjumani	109,092	116,159	184,864	40,387	223,196	2,055	225,251
Agago	111,081	116,711	198,799	28,993	226,356	1,436	227,792
Alebtong	111,191	116,350	220,835	6,706	227,037	504	227,541
Amolatar	73,741	73,425	125,562	21,604	145,209	1,957	147,166
